no,name,kor,eng,math,total,avg,rank,c_date
476,Sheila-kathryn,79,54,82,215,71.6666666667,0,2024-04-08
477,Geri,99,71,91,261,87,0,2024-04-09
478,Mikkel,82,79,76,237,79,0,2024-04-08
479,Mari,66,53,93,212,70.6666666667,0,2024-04-05
480,Clovis,57,94,63,214,71.3333333333,0,2024-04-06
481,Magdalena,55,70,72,197,65.6666666667,0,2024-04-08
482,Marybelle,64,55,73,192,64,0,2024-04-03
483,Tull,54,53,71,178,59.3333333333,0,2024-04-04
484,Ariana,71,81,63,215,71.6666666667,0,2024-04-05
485,Antin,81,84,76,241,80.3333333333,0,2024-04-06
486,Lena,65,90,75,230,76.6666666667,0,2024-04-03
487,Ulberto,88,54,79,221,73.6666666667,0,2024-04-01
488,Juline,51,72,74,197,65.6666666667,0,2024-04-07
489,Jordan,92,51,52,195,65,0,2024-04-02
490,Kristien,78,72,70,220,73.3333333333,0,2024-04-01
491,Melonie,83,61,54,198,66,0,2024-04-02
492,Francyne,52,99,76,227,75.6666666667,0,2024-04-01
493,Holly,67,82,56,205,68.3333333333,0,2024-04-01
494,Daisy,100,84,85,269,89.6666666667,0,2024-04-05
495,Filmer,73,64,96,233,77.6666666667,0,2024-04-09
496,Neely,55,61,56,172,57.3333333333,0,2024-04-02
497,Kali,68,99,80,247,82.3333333333,0,2024-04-06
498,Viva,85,88,75,248,82.6666666667,0,2024-04-08
499,Gusella,52,63,63,178,59.3333333333,0,2024-04-07
500,Gussy,57,55,51,163,54.3333333333,0,2024-04-02
501,Koren,70,93,81,244,81.3333333333,0,2024-04-08
502,Patrick,93,97,88,278,92.6666666667,0,2024-04-05
503,Cissy,83,85,99,267,89,0,2024-04-07
504,Margy,97,90,97,284,94.6666666667,0,2024-04-02
505,Tiertza,75,70,80,225,75,0,2024-04-01
506,Deb,76,79,67,222,74,0,2024-04-05
507,Neel,68,92,79,239,79.6666666667,0,2024-04-05
508,Maureene,75,70,60,205,68.3333333333,0,2024-04-02
509,Thea,98,64,66,228,76,0,2024-04-09
510,Beryl,72,58,73,203,67.6666666667,0,2024-04-03
511,Hinze,65,95,72,232,77.3333333333,0,2024-04-05
512,Una,92,57,93,242,80.6666666667,0,2024-04-06
513,Garold,72,57,74,203,67.6666666667,0,2024-04-05
514,Jonis,89,75,71,235,78.3333333333,0,2024-04-02
515,Jilleen,62,79,59,200,66.6666666667,0,2024-04-03
516,Ibrahim,66,71,69,206,68.6666666667,0,2024-04-04
517,Dania,53,60,63,176,58.6666666667,0,2024-04-04
518,Robbyn,100,60,73,233,77.6666666667,0,2024-04-09
519,Arlyn,51,93,98,242,80.6666666667,0,2024-04-08
520,Caitrin,64,87,88,239,79.6666666667,0,2024-04-09
521,Richardo,98,58,70,226,75.3333333333,0,2024-04-04
522,Wolfie,88,50,66,204,68,0,2024-04-05
523,Charla,67,62,96,225,75,0,2024-04-04
524,Dick,94,86,76,256,85.3333333333,0,2024-04-02
525,Gerry,67,54,86,207,69,0,2024-04-05
526,Aeriel,92,54,90,236,78.6666666667,0,2024-04-07
527,Pren,72,98,65,235,78.3333333333,0,2024-04-07
528,Daniela,91,86,84,261,87,0,2024-04-06
529,Tildie,56,97,89,242,80.6666666667,0,2024-04-02
530,Wit,68,50,86,204,68,0,2024-04-01
531,Drusilla,91,77,69,237,79,0,2024-04-02
532,Sammy,80,96,58,234,78,0,2024-04-07
533,Raychel,57,86,84,227,75.6666666667,0,2024-04-04
534,Jackelyn,58,100,84,242,80.6666666667,0,2024-04-05
535,Lark,66,85,98,249,83,0,2024-04-03
536,Roselin,68,66,74,208,69.3333333333,0,2024-04-05
537,Lucky,81,83,84,248,82.6666666667,0,2024-04-09
538,Tiphany,98,77,72,247,82.3333333333,0,2024-04-09
539,Pamela,69,67,61,197,65.6666666667,0,2024-04-06
540,Lew,73,60,58,191,63.6666666667,0,2024-04-04
541,Ruthe,71,82,64,217,72.3333333333,0,2024-04-09
542,Cobbie,62,64,82,208,69.3333333333,0,2024-04-01
543,Kent,87,87,62,236,78.6666666667,0,2024-04-09
544,Alfonso,89,73,73,235,78.3333333333,0,2024-04-03
545,Margarette,63,52,82,197,65.6666666667,0,2024-04-01
546,Georgie,92,92,93,277,92.3333333333,0,2024-04-08
547,York,76,50,75,201,67,0,2024-04-09
548,Keri,60,55,54,169,56.3333333333,0,2024-04-02
549,Libbie,99,53,74,226,75.3333333333,0,2024-04-06
550,Jacquelin,91,79,91,261,87,0,2024-04-08
551,Egon,62,81,72,215,71.6666666667,0,2024-04-04
552,Gratiana,92,80,98,270,90,0,2024-04-06
553,Nerti,95,95,52,242,80.6666666667,0,2024-04-01
554,Florinda,96,88,51,235,78.3333333333,0,2024-04-04
555,Mommy,99,100,76,275,91.6666666667,0,2024-04-08
556,Elsey,99,95,77,271,90.3333333333,0,2024-04-07
557,Myriam,61,52,67,180,60,0,2024-04-06
558,Mora,71,58,58,187,62.3333333333,0,2024-04-09
559,Jemima,52,82,75,209,69.6666666667,0,2024-04-05
560,Marcie,74,69,62,205,68.3333333333,0,2024-04-06
561,Vally,93,86,81,260,86.6666666667,0,2024-04-04
562,Dalenna,93,69,73,235,78.3333333333,0,2024-04-05
563,Harlen,97,66,86,249,83,0,2024-04-09
564,Immanuel,69,58,61,188,62.6666666667,0,2024-04-01
565,Ethan,92,100,88,280,93.3333333333,0,2024-04-07
566,Kaela,70,64,88,222,74,0,2024-04-08
567,Arluene,91,64,94,249,83,0,2024-04-01
568,Barnaby,81,98,67,246,82,0,2024-04-07
569,Chadd,56,58,75,189,63,0,2024-04-06
570,Serena,86,71,88,245,81.6666666667,0,2024-04-07
571,Rudd,69,74,86,229,76.3333333333,0,2024-04-03
572,Aldrich,68,73,96,237,79,0,2024-04-04
573,Gerri,71,75,58,204,68,0,2024-04-04
574,Katharina,66,53,51,170,56.6666666667,0,2024-04-02
575,Inglebert,58,53,93,204,68,0,2024-04-06
576,Sanford,71,98,71,240,80,0,2024-04-02
577,Moses,65,88,93,246,82,0,2024-04-07
578,Maddy,51,62,60,173,57.6666666667,0,2024-04-07
579,Lucas,94,64,52,210,70,0,2024-04-06
580,Page,67,69,58,194,64.6666666667,0,2024-04-09
581,Cathryn,58,82,88,228,76,0,2024-04-05
582,Dela,78,83,80,241,80.3333333333,0,2024-04-02
583,Rodrique,62,89,97,248,82.6666666667,0,2024-04-08
584,Jimmy,79,65,94,238,79.3333333333,0,2024-04-01
585,Rock,80,96,66,242,80.6666666667,0,2024-04-07
586,Juana,77,63,58,198,66,0,2024-04-08
587,Thomasa,57,79,56,192,64,0,2024-04-04
588,Suki,88,66,66,220,73.3333333333,0,2024-04-06
589,Martita,83,70,61,214,71.3333333333,0,2024-04-01
590,Venus,64,76,91,231,77,0,2024-04-07
591,Marcus,68,87,60,215,71.6666666667,0,2024-04-07
592,Zerk,50,52,75,177,59,0,2024-04-05
593,Edsel,97,98,57,252,84,0,2024-04-08
594,Issie,70,98,73,241,80.3333333333,0,2024-04-04
595,Gary,83,56,90,229,76.3333333333,0,2024-04-02
596,Giana,93,52,50,195,65,0,2024-04-09
597,Brittni,63,50,72,185,61.6666666667,0,2024-04-06
598,Silvio,57,100,59,216,72,0,2024-04-01
599,Lauren,68,69,58,195,65,0,2024-04-05
600,Mil,52,65,75,192,64,0,2024-04-07
601,Sharyl,83,54,56,193,64.3333333333,0,2024-04-03
602,Elsa,87,73,75,235,78.3333333333,0,2024-04-06
603,Evanne,84,82,79,245,81.6666666667,0,2024-04-08
604,Price,82,91,83,256,85.3333333333,0,2024-04-05
605,Roth,52,58,88,198,66,0,2024-04-08
606,Crin,64,89,77,230,76.6666666667,0,2024-04-09
607,Doti,68,55,63,186,62,0,2024-04-01
608,Jobey,74,73,72,219,73,0,2024-04-06
609,Adore,50,85,92,227,75.6666666667,0,2024-04-06
610,Madelena,74,97,80,251,83.6666666667,0,2024-04-01
611,Vida,79,97,78,254,84.6666666667,0,2024-04-01
612,Clerissa,51,97,84,232,77.3333333333,0,2024-04-08
613,Lionello,69,55,53,177,59,0,2024-04-01
614,Bobette,92,74,66,232,77.3333333333,0,2024-04-04
615,Olivette,53,98,71,222,74,0,2024-04-04
616,Harper,66,79,91,236,78.6666666667,0,2024-04-06
617,Erica,78,99,87,264,88,0,2024-04-07
618,Sheila,55,56,84,195,65,0,2024-04-01
619,Zolly,95,99,88,282,94,0,2024-04-07
620,Regina,97,96,56,249,83,0,2024-04-06
621,Reagen,52,72,55,179,59.6666666667,0,2024-04-05
622,Kippy,78,74,64,216,72,0,2024-04-05
623,Janice,93,79,89,261,87,0,2024-04-06
624,Marne,71,52,90,213,71,0,2024-04-05
625,Berty,50,69,98,217,72.3333333333,0,2024-04-05
626,Alisun,97,80,63,240,80,0,2024-04-07
627,Drucie,73,75,79,227,75.6666666667,0,2024-04-09
628,Olivia,85,84,90,259,86.3333333333,0,2024-04-07
629,Baxy,89,88,99,276,92,0,2024-04-08
630,Frayda,90,81,90,261,87,0,2024-04-02
631,Dinah,53,53,86,192,64,0,2024-04-07
632,Norbie,71,87,56,214,71.3333333333,0,2024-04-09
633,Jaye,67,74,59,200,66.6666666667,0,2024-04-03
634,Dorotea,93,56,81,230,76.6666666667,0,2024-04-04
635,Omar,58,53,66,177,59,0,2024-04-01
636,Josiah,90,54,91,235,78.3333333333,0,2024-04-06
637,Gracie,81,96,78,255,85,0,2024-04-06
638,Frederique,50,91,64,205,68.3333333333,0,2024-04-04
639,Corabella,54,59,99,212,70.6666666667,0,2024-04-09
640,Victoir,63,100,85,248,82.6666666667,0,2024-04-02
641,Lira,84,84,85,253,84.3333333333,0,2024-04-01
642,Everett,77,90,65,232,77.3333333333,0,2024-04-07
643,Shermy,65,63,76,204,68,0,2024-04-04
644,Shoshana,78,50,83,211,70.3333333333,0,2024-04-02
645,Carroll,73,65,84,222,74,0,2024-04-05
646,Sunshine,80,80,63,223,74.3333333333,0,2024-04-05
647,Corenda,87,72,56,215,71.6666666667,0,2024-04-04
648,Elberta,83,84,83,250,83.3333333333,0,2024-04-01
649,Gregoor,100,78,80,258,86,0,2024-04-08
650,Ned,53,70,86,209,69.6666666667,0,2024-04-07
651,Dasie,78,97,60,235,78.3333333333,0,2024-04-09
652,Lucian,60,65,84,209,69.6666666667,0,2024-04-07
653,Georgeanne,89,84,57,230,76.6666666667,0,2024-04-07
654,Shena,69,74,93,236,78.6666666667,0,2024-04-06
655,Korey,75,60,57,192,64,0,2024-04-03
656,Olva,74,61,86,221,73.6666666667,0,2024-04-05
657,Amandi,58,92,60,210,70,0,2024-04-03
658,Almeria,84,62,90,236,78.6666666667,0,2024-04-08
659,Edd,80,68,60,208,69.3333333333,0,2024-04-01
660,Benjie,91,56,54,201,67,0,2024-04-04
661,Madison,91,94,67,252,84,0,2024-04-03
662,Waldon,82,69,91,242,80.6666666667,0,2024-04-04
663,Lilli,63,95,73,231,77,0,2024-04-05
664,Bondie,97,85,83,265,88.3333333333,0,2024-04-03
665,Ebony,94,67,84,245,81.6666666667,0,2024-04-08
666,Cedric,92,79,74,245,81.6666666667,0,2024-04-01
667,Mirabel,60,99,100,259,86.3333333333,0,2024-04-06
668,Florian,71,63,54,188,62.6666666667,0,2024-04-06
669,Boothe,58,84,69,211,70.3333333333,0,2024-04-01
670,Brodie,53,76,60,189,63,0,2024-04-07
671,Kaylil,72,92,72,236,78.6666666667,0,2024-04-03
672,Eadith,56,72,66,194,64.6666666667,0,2024-04-08
673,Pedro,83,90,59,232,77.3333333333,0,2024-04-04
674,Maddie,63,92,99,254,84.6666666667,0,2024-04-05
675,Danit,67,53,95,215,71.6666666667,0,2024-04-03
676,Lazarus,94,68,70,232,77.3333333333,0,2024-04-02
677,Daryl,50,54,81,185,61.6666666667,0,2024-04-04
678,Carmela,80,76,93,249,83,0,2024-04-04
679,Antonella,80,91,76,247,82.3333333333,0,2024-04-05
680,Rosalia,85,71,87,243,81,0,2024-04-02
681,Traci,64,83,72,219,73,0,2024-04-07
682,Erminie,57,86,73,216,72,0,2024-04-06
683,Courtnay,74,53,99,226,75.3333333333,0,2024-04-03
684,Marley,59,69,85,213,71,0,2024-04-03
685,Liuka,53,57,58,168,56,0,2024-04-04
686,Sibyl,92,81,89,262,87.3333333333,0,2024-04-07
687,Ozzy,91,73,98,262,87.3333333333,0,2024-04-08
688,Steven,66,61,86,213,71,0,2024-04-08
689,Georgeta,81,79,51,211,70.3333333333,0,2024-04-06
690,Elita,72,65,82,219,73,0,2024-04-04
691,Siward,88,96,96,280,93.3333333333,0,2024-04-06
692,Hermie,55,62,92,209,69.6666666667,0,2024-04-04
693,Kania,67,83,79,229,76.3333333333,0,2024-04-02
694,Hetty,66,62,93,221,73.6666666667,0,2024-04-05
695,Winona,85,58,87,230,76.6666666667,0,2024-04-01
696,Dag,79,57,64,200,66.6666666667,0,2024-04-09
697,Sandy,83,89,65,237,79,0,2024-04-03
698,Anastassia,81,98,93,272,90.6666666667,0,2024-04-05
699,Catlaina,50,88,94,232,77.3333333333,0,2024-04-05
700,Glennie,58,60,64,182,60.6666666667,0,2024-04-07
701,Shauna,58,74,83,215,71.6666666667,0,2024-04-06
702,Cosetta,99,62,69,230,76.6666666667,0,2024-04-06
703,Leah,57,89,61,207,69,0,2024-04-09
704,Imojean,52,89,91,232,77.3333333333,0,2024-04-06
705,Ninette,95,61,68,224,74.6666666667,0,2024-04-09
706,Lloyd,80,76,91,247,82.3333333333,0,2024-04-08
707,Cyndi,69,92,88,249,83,0,2024-04-06
708,Waylen,94,75,89,258,86,0,2024-04-09
709,Creighton,81,54,76,211,70.3333333333,0,2024-04-08
710,Osbert,80,51,52,183,61,0,2024-04-02
711,Jessee,84,63,95,242,80.6666666667,0,2024-04-07
712,Tyson,72,67,96,235,78.3333333333,0,2024-04-04
713,Galven,78,93,64,235,78.3333333333,0,2024-04-09
714,Alleyn,79,73,73,225,75,0,2024-04-06
715,William,99,57,83,239,79.6666666667,0,2024-04-06
716,Risa,84,73,71,228,76,0,2024-04-07
717,Benetta,80,67,60,207,69,0,2024-04-08
718,Gerti,83,73,100,256,85.3333333333,0,2024-04-04
719,Dallas,67,65,77,209,69.6666666667,0,2024-04-06
720,Lynn,53,71,51,175,58.3333333333,0,2024-04-05
721,Brendis,52,93,80,225,75,0,2024-04-04
722,Rosemaria,86,92,58,236,78.6666666667,0,2024-04-09
723,Chery,98,80,94,272,90.6666666667,0,2024-04-01
724,Kiersten,78,66,72,216,72,0,2024-04-05
725,Harry,61,52,90,203,67.6666666667,0,2024-04-08
726,Shandy,88,95,71,254,84.6666666667,0,2024-04-05
727,Sigismund,65,63,78,206,68.6666666667,0,2024-04-05
728,Gisella,77,71,58,206,68.6666666667,0,2024-04-06
729,Katrine,96,52,73,221,73.6666666667,0,2024-04-04
730,Conrado,82,78,75,235,78.3333333333,0,2024-04-01
731,Wallace,64,100,53,217,72.3333333333,0,2024-04-08
732,Duke,96,59,97,252,84,0,2024-04-04
733,Lauretta,60,54,71,185,61.6666666667,0,2024-04-06
734,Karoly,79,64,81,224,74.6666666667,0,2024-04-04
735,Pate,100,100,85,285,95,0,2024-04-03
736,Phyllida,94,89,71,254,84.6666666667,0,2024-04-06
737,Lucine,59,84,63,206,68.6666666667,0,2024-04-09
738,Jill,98,58,100,256,85.3333333333,0,2024-04-07
739,Sansone,54,100,92,246,82,0,2024-04-08
740,Michaella,61,89,64,214,71.3333333333,0,2024-04-04
741,Audra,70,64,56,190,63.3333333333,0,2024-04-08
742,Myrna,75,71,51,197,65.6666666667,0,2024-04-03
743,Loralyn,80,74,53,207,69,0,2024-04-07
744,Abner,86,60,52,198,66,0,2024-04-04
745,Grace,98,70,72,240,80,0,2024-04-05
746,Edee,66,83,96,245,81.6666666667,0,2024-04-07
747,Clayborn,100,56,93,249,83,0,2024-04-03
748,Kingsley,91,65,62,218,72.6666666667,0,2024-04-03
749,Wade,83,79,94,256,85.3333333333,0,2024-04-07
750,Sydney,71,54,95,220,73.3333333333,0,2024-04-05
751,Willetta,52,85,61,198,66,0,2024-04-05
752,Wash,88,83,62,233,77.6666666667,0,2024-04-07
753,Tamra,80,92,74,246,82,0,2024-04-03
754,Ulrich,57,53,90,200,66.6666666667,0,2024-04-08
755,Cole,76,50,91,217,72.3333333333,0,2024-04-05
756,Mariele,75,84,65,224,74.6666666667,0,2024-04-07
757,Aile,69,79,61,209,69.6666666667,0,2024-04-09
758,Pablo,64,88,50,202,67.3333333333,0,2024-04-02
759,Susi,57,57,99,213,71,0,2024-04-09
760,Christel,65,92,98,255,85,0,2024-04-04
761,Halette,59,95,94,248,82.6666666667,0,2024-04-09
762,Cameron,58,69,75,202,67.3333333333,0,2024-04-04
763,Ulric,80,76,51,207,69,0,2024-04-08
764,Michaeline,100,62,52,214,71.3333333333,0,2024-04-08
765,Clarence,50,62,77,189,63,0,2024-04-03
766,Jyoti,52,61,86,199,66.3333333333,0,2024-04-09
767,Waverly,60,74,86,220,73.3333333333,0,2024-04-01
768,Jeanie,92,70,76,238,79.3333333333,0,2024-04-05
769,Olly,82,88,80,250,83.3333333333,0,2024-04-07
770,Cally,54,91,73,218,72.6666666667,0,2024-04-02
771,Concettina,58,62,87,207,69,0,2024-04-08
772,Hunter,74,82,88,244,81.3333333333,0,2024-04-05
773,Fanchon,78,72,75,225,75,0,2024-04-05
774,Elvis,66,76,82,224,74.6666666667,0,2024-04-04
775,Kain,69,99,75,243,81,0,2024-04-06
776,Johannes,99,57,70,226,75.3333333333,0,2024-04-03
777,Alejandrina,55,54,60,169,56.3333333333,0,2024-04-03
778,Mag,91,78,89,258,86,0,2024-04-08
779,Burton,87,67,69,223,74.3333333333,0,2024-04-09
780,Gates,84,88,60,232,77.3333333333,0,2024-04-04
781,Dieter,90,58,81,229,76.3333333333,0,2024-04-09
782,Arleyne,71,65,54,190,63.3333333333,0,2024-04-02
783,Lynette,52,78,56,186,62,0,2024-04-03
784,Neron,70,66,82,218,72.6666666667,0,2024-04-05
785,Gordan,76,66,72,214,71.3333333333,0,2024-04-04
786,Giff,81,87,74,242,80.6666666667,0,2024-04-06
787,Robyn,56,85,61,202,67.3333333333,0,2024-04-08
788,Juliane,66,94,83,243,81,0,2024-04-07
789,Gretna,77,57,61,195,65,0,2024-04-07
790,Ave,82,57,71,210,70,0,2024-04-01
791,Joli,62,72,66,200,66.6666666667,0,2024-04-02
792,Dougy,51,55,69,175,58.3333333333,0,2024-04-05
793,Mimi,59,62,64,185,61.6666666667,0,2024-04-01
794,Scarlett,82,81,61,224,74.6666666667,0,2024-04-03
795,Bekki,53,68,68,189,63,0,2024-04-04
796,Eli,97,88,95,280,93.3333333333,0,2024-04-08
797,Morgun,75,89,77,241,80.3333333333,0,2024-04-07
798,Hortensia,83,91,60,234,78,0,2024-04-09
799,Gretta,96,69,100,265,88.3333333333,0,2024-04-02
800,Ardella,64,58,69,191,63.6666666667,0,2024-04-03
801,Rhona,87,65,76,228,76,0,2024-04-03
802,Judye,54,77,91,222,74,0,2024-04-09
803,Deloria,74,98,98,270,90,0,2024-04-06
804,Odette,61,94,53,208,69.3333333333,0,2024-04-08
805,Hillard,71,53,67,191,63.6666666667,0,2024-04-02
806,Jethro,80,74,69,223,74.3333333333,0,2024-04-05
807,Merralee,52,93,67,212,70.6666666667,0,2024-04-08
808,Gwendolen,75,97,70,242,80.6666666667,0,2024-04-05
809,Jone,97,77,80,254,84.6666666667,0,2024-04-05
810,Rayna,100,50,59,209,69.6666666667,0,2024-04-08
811,Cordell,86,76,57,219,73,0,2024-04-09
812,Dalia,75,75,80,230,76.6666666667,0,2024-04-03
813,Maurizia,86,69,91,246,82,0,2024-04-02
814,Tedra,96,98,61,255,85,0,2024-04-09
815,Paton,50,62,78,190,63.3333333333,0,2024-04-03
816,Terry,65,70,83,218,72.6666666667,0,2024-04-09
817,Glennie,71,69,94,234,78,0,2024-04-06
818,Denice,71,66,96,233,77.6666666667,0,2024-04-05
819,Tobey,51,93,65,209,69.6666666667,0,2024-04-02
820,Simmonds,82,70,78,230,76.6666666667,0,2024-04-03
821,Isabella,61,82,95,238,79.3333333333,0,2024-04-04
822,Trula,73,67,72,212,70.6666666667,0,2024-04-04
823,Pauletta,69,70,78,217,72.3333333333,0,2024-04-06
824,Karin,87,91,62,240,80,0,2024-04-06
825,Gaylene,66,85,73,224,74.6666666667,0,2024-04-09
826,Laurena,57,56,52,165,55,0,2024-04-06
827,Albertina,86,63,52,201,67,0,2024-04-02
828,Sandro,50,73,68,191,63.6666666667,0,2024-04-09
829,Selie,53,73,96,222,74,0,2024-04-08
830,Charita,66,62,79,207,69,0,2024-04-04
831,Ulysses,85,77,63,225,75,0,2024-04-03
832,Mendy,62,54,62,178,59.3333333333,0,2024-04-03
833,Irwinn,54,73,54,181,60.3333333333,0,2024-04-07
834,Pete,77,92,64,233,77.6666666667,0,2024-04-08
835,Lindie,80,96,92,268,89.3333333333,0,2024-04-01
836,Vallie,78,57,84,219,73,0,2024-04-04
837,Neil,70,80,51,201,67,0,2024-04-02
838,Ricca,74,56,88,218,72.6666666667,0,2024-04-08
839,Siouxie,62,87,86,235,78.3333333333,0,2024-04-06
840,Catarina,97,51,80,228,76,0,2024-04-06
841,Ware,95,96,96,287,95.6666666667,0,2024-04-08
842,Lalo,63,86,73,222,74,0,2024-04-04
843,Gale,92,86,60,238,79.3333333333,0,2024-04-04
844,Phillie,84,94,76,254,84.6666666667,0,2024-04-06
845,Sibby,56,73,58,187,62.3333333333,0,2024-04-03
846,Ethelred,93,98,92,283,94.3333333333,0,2024-04-05
847,Tabina,94,79,73,246,82,0,2024-04-01
848,Gelya,51,76,50,177,59,0,2024-04-05
849,Goddard,78,59,70,207,69,0,2024-04-05
850,Marnie,99,57,84,240,80,0,2024-04-08
851,Kerrie,53,83,80,216,72,0,2024-04-02
852,Judith,94,59,53,206,68.6666666667,0,2024-04-05
853,Nicolea,67,76,65,208,69.3333333333,0,2024-04-09
854,Laird,95,58,100,253,84.3333333333,0,2024-04-02
855,Josselyn,69,98,66,233,77.6666666667,0,2024-04-01
856,Gena,89,99,89,277,92.3333333333,0,2024-04-05
857,Ariel,53,52,69,174,58,0,2024-04-06
858,Dimitri,74,64,92,230,76.6666666667,0,2024-04-04
859,Hagen,61,54,92,207,69,0,2024-04-09
860,Benjy,83,66,64,213,71,0,2024-04-04
861,Jule,53,77,87,217,72.3333333333,0,2024-04-04
862,Curtis,88,93,52,233,77.6666666667,0,2024-04-09
863,Tyne,58,93,77,228,76,0,2024-04-08
864,Eleni,99,88,95,282,94,0,2024-04-02
865,Henrietta,64,90,66,220,73.3333333333,0,2024-04-04
866,Jacinda,67,54,71,192,64,0,2024-04-05
867,Giovanni,51,57,96,204,68,0,2024-04-09
868,Starlin,68,95,50,213,71,0,2024-04-04
869,Greta,96,77,65,238,79.3333333333,0,2024-04-04
870,Marco,82,75,58,215,71.6666666667,0,2024-04-01
871,Britte,74,53,62,189,63,0,2024-04-01
872,Jourdain,86,66,88,240,80,0,2024-04-09
873,Niels,56,97,65,218,72.6666666667,0,2024-04-03
874,Sim,83,82,62,227,75.6666666667,0,2024-04-06
875,Bennett,82,93,96,271,90.3333333333,0,2024-04-02
876,Dante,73,62,95,230,76.6666666667,0,2024-04-04
877,Clayborn,85,70,60,215,71.6666666667,0,2024-04-09
878,Holly,93,53,93,239,79.6666666667,0,2024-04-09
879,Vern,66,77,89,232,77.3333333333,0,2024-04-08
880,Jere,81,90,84,255,85,0,2024-04-06
881,Debi,77,84,75,236,78.6666666667,0,2024-04-03
882,Lisa,72,80,88,240,80,0,2024-04-07
883,Carroll,54,87,88,229,76.3333333333,0,2024-04-08
884,Maximilien,62,56,72,190,63.3333333333,0,2024-04-08
885,Elberta,71,81,88,240,80,0,2024-04-07
886,Berkie,66,54,84,204,68,0,2024-04-07
887,Julie,83,97,56,236,78.6666666667,0,2024-04-09
888,Nomi,77,98,72,247,82.3333333333,0,2024-04-08
889,Henrik,98,98,53,249,83,0,2024-04-01
890,Sigismond,82,67,79,228,76,0,2024-04-03
891,Isa,98,52,76,226,75.3333333333,0,2024-04-04
892,Chaim,72,92,92,256,85.3333333333,0,2024-04-02
893,Berty,81,74,64,219,73,0,2024-04-06
894,Esmaria,68,80,86,234,78,0,2024-04-06
895,Alexine,98,73,92,263,87.6666666667,0,2024-04-06
896,Abbye,84,67,81,232,77.3333333333,0,2024-04-04
897,Felecia,80,66,85,231,77,0,2024-04-05
898,Sam,55,75,99,229,76.3333333333,0,2024-04-05
899,Towny,96,58,93,247,82.3333333333,0,2024-04-03
900,Byran,87,98,99,284,94.6666666667,0,2024-04-08
901,Sibel,50,97,99,246,82,0,2024-04-03
902,Reinald,59,100,54,213,71,0,2024-04-06
903,Jaimie,66,84,81,231,77,0,2024-04-04
904,Jayne,85,84,70,239,79.6666666667,0,2024-04-07
905,Noell,84,97,85,266,88.6666666667,0,2024-04-09
906,Murial,58,75,51,184,61.3333333333,0,2024-04-02
907,Hermy,61,70,80,211,70.3333333333,0,2024-04-02
908,Wernher,80,77,98,255,85,0,2024-04-08
909,Kaleb,100,90,97,287,95.6666666667,0,2024-04-08
910,Bibby,93,91,76,260,86.6666666667,0,2024-04-05
911,Nalani,51,50,91,192,64,0,2024-04-06
912,Tremayne,60,90,59,209,69.6666666667,0,2024-04-07
913,Elke,96,83,95,274,91.3333333333,0,2024-04-04
914,Lorrie,82,76,74,232,77.3333333333,0,2024-04-01
915,Frances,73,51,54,178,59.3333333333,0,2024-04-07
916,Bastian,100,89,76,265,88.3333333333,0,2024-04-03
917,Arlene,83,99,92,274,91.3333333333,0,2024-04-06
918,Francis,52,87,69,208,69.3333333333,0,2024-04-09
919,Lucas,57,77,84,218,72.6666666667,0,2024-04-01
920,Amos,58,54,80,192,64,0,2024-04-09
921,Fleurette,67,56,70,193,64.3333333333,0,2024-04-06
922,Mord,79,63,100,242,80.6666666667,0,2024-04-08
923,Osborn,53,61,70,184,61.3333333333,0,2024-04-08
924,Norby,63,74,61,198,66,0,2024-04-04
925,Hussein,92,85,93,270,90,0,2024-04-02
926,Dania,64,64,70,198,66,0,2024-04-07
927,Abdul,62,81,74,217,72.3333333333,0,2024-04-03
928,Ellis,74,62,78,214,71.3333333333,0,2024-04-04
929,Lolly,79,86,61,226,75.3333333333,0,2024-04-06
930,Rowney,74,67,68,209,69.6666666667,0,2024-04-09
931,Titos,98,65,75,238,79.3333333333,0,2024-04-02
932,Deina,57,96,95,248,82.6666666667,0,2024-04-06
933,Bondon,53,99,95,247,82.3333333333,0,2024-04-07
934,Aigneis,92,68,61,221,73.6666666667,0,2024-04-02
935,Shurlocke,76,58,81,215,71.6666666667,0,2024-04-05
936,Janela,98,68,65,231,77,0,2024-04-06
937,Zack,86,93,51,230,76.6666666667,0,2024-04-09
938,Adrienne,80,97,51,228,76,0,2024-04-03
939,Elia,66,73,77,216,72,0,2024-04-01
940,Janice,81,57,71,209,69.6666666667,0,2024-04-07
941,Gabbie,89,56,96,241,80.3333333333,0,2024-04-08
942,Bernhard,62,73,53,188,62.6666666667,0,2024-04-06
943,Siana,75,78,89,242,80.6666666667,0,2024-04-04
944,Didi,89,99,73,261,87,0,2024-04-09
945,Hannis,75,93,79,247,82.3333333333,0,2024-04-05
946,Cart,62,69,87,218,72.6666666667,0,2024-04-05
947,Estevan,92,96,76,264,88,0,2024-04-08
948,Cammie,100,67,71,238,79.3333333333,0,2024-04-04
949,Anitra,100,97,57,254,84.6666666667,0,2024-04-08
950,Wallis,91,69,87,247,82.3333333333,0,2024-04-08
951,Raven,97,100,73,270,90,0,2024-04-04
952,Tiffi,79,62,66,207,69,0,2024-04-02
953,Verena,96,92,62,250,83.3333333333,0,2024-04-07
954,Ariel,64,92,91,247,82.3333333333,0,2024-04-05
